Id,Artículo,Nombre,Presentación,Valor_Nutricional,Cantidad_Base,Precio_Unidad_Base,Número_Valoraciones,Valoración,Precio_Anterior,Precio_Actual,Fecha_Extracción
272,"Nackis de maíz sin gluten BICENTURY, paquete 130 g",Nackis de maíz sin gluten BICENTURY,paquete 130 g,NaN,KILO,11.23,0,0,NaN,1.46,2020-04-10
273,"Salsa carbonara EROSKI, frasco 350 g",Salsa carbonara EROSKI,frasco 350 g,score-c,KILO,3.54,0,0,NaN,1.24,2020-04-10
274,"Natillas con caramelo Eroski SELEQTIA, tarro de barro 140 g",Natillas con caramelo Eroski SELEQTIA,tarro de barro 140 g,score-c,KILO,7.07,1,5.0,NaN,0.99,2020-04-10
275,"Bonito en escabeche EROSKI, lata 266 g",Bonito en escabeche EROSKI,lata 266 g,score-a,KILO,17.26,0,0,NaN,4.59,2020-04-10
276,"Bolsita 100% manzana-plátano EROSKI, pack 4x100 g",Bolsita 100% manzana-plátano EROSKI,pack 4x100 g,score-a,KILO,7.00,0,0,NaN,2.80,2020-04-10
277,"Hamburguesa de pollo rústico EROSKI Natur, 2 uds., bandeja 240 g",Hamburguesa de pollo rústico EROSKI Natur,2 uds.,score-d,KILO,9.38,0,0,NaN,2.25,2020-04-10
278,"Alubias con verduras EROSKI, frasco 400 g",Alubias con verduras EROSKI,frasco 400 g,NaN,KILO,2.55,0,0,NaN,1.02,2020-04-10
279,"Jamón cocido reducido en sal EROSKI Sannia, bandeja 150 g",Jamón cocido reducido en sal EROSKI Sannia,bandeja 150 g,score-b,KILO,13.27,0,0,NaN,1.99,2020-04-10
280,"Tira costilla de cerdo sabor finas hierbas EROSKI, sobre aprox. 500 g",Tira costilla de cerdo sabor finas hierbas EROSKI,sobre aprox. 500 g,score-d,KILO,6.70,0,0,NaN,3.35,2020-04-10
281,"Yogur natural de leche de oveja Eroski SELEQTIA, pack 2x115 g",Yogur natural de leche de oveja Eroski SELEQTIA,pack 2x115 g,score-c,KILO,6.43,1,5.0,NaN,1.48,2020-04-10
282,"Hamburguesa vacuno-cerdo B. Meat EROSKI, 2 uds., bandeja 300 g",Hamburguesa vacuno-cerdo B. Meat EROSKI,2 uds.,score-d,KILO,6.67,0,0,NaN,2.00,2020-04-10
283,"Garbanzos con espinacas EROSKI, frasco 370 g",Garbanzos con espinacas EROSKI,frasco 370 g,NaN,KILO,2.76,0,0,NaN,1.02,2020-04-10
284,"Zamburiña en salsa de vieira EROSKI, lata 115 g",Zamburiña en salsa de vieira EROSKI,lata 115 g,score-a,KILO,14.17,1,5.0,NaN,1.63,2020-04-10
285,"Almendra tostada sin sal EROSKI, bolsa 75 g",Almendra tostada sin sal EROSKI,bolsa 75 g,score-a,KILO,19.87,0,0,NaN,1.49,2020-04-10
